,Stance,Name,FighterID,Country,WT Class,Team,DOB,Nickname,ReachInches,WeightPounds,HeightInches
14983,,Cory MacDonald,2354282/cory-macdonald,,,,,,,,
14984,,Eric Macdonald,3153391/eric-macdonald,,,,,,,,
14985,,Jacob MacDonald,2556313/jacob-macdonald,,Welterweight,,,,,,
14986,,Jake Macdonald,3165119/jake-macdonald,Canada,,,,,,,
14987,Orthodox,Jason MacDonald,2335771/jason-macdonald,Canada,Middleweight,Pure Fitness and MMA,1975-06-03,The Athlete,80.0,,
14988,,Kevin MacDonald,2594384/kevin-macdonald,,,,,,,,
14989,Orthodox,Rob MacDonald,2431279/rob-macdonald,USA,Light Heavyweight,,,,78.5,,
14990,Orthodox,Rory MacDonald,2501814/rory-macdonald,Canada,Welterweight,TriStar Gym,1989-07-22,Red King,76.0,170.0,72.0
14991,Switch,Ryan MacDonald,4416348/ryan-macdonald,USA,Bantamweight,Disorderly Conduct,1993-03-18,Main Event,71.0,135.0,71.0
14992,,Brian Maceachern,3089339/brian-maceachern,,,,,,,,
14993,,Alessandro Macedo,3147662/alessandro-macedo,,,,,,,,
14994,,Cris Macfer Ferreira Macedo,4693092/cris-macfer-ferreira-macedo,Brazil,,,1993-05-10,,,,
14995,,Ederson Macedo,3020380/ederson-macedo,,,,,,,,
14996,,Rafael Macedo,4200465/rafael-macedo,Brazil,Lightweight,Frontline Academy,1986-08-11,The Butcher,,155.0,67.0
14997,,Thiago Macedo,3896965/thiago-macedo,Brazil,,,,,,,
14998,Southpaw,Veronica Macedo,4044708/veronica-macedo,Venezuela,Women's Flyweight,MMA Factory,1995-10-30,,64.0,135.0,64.0
14999,,Filip Macek,3146510/filip-macek,Czech Republic,,,1991-06-03,,,135.0,67.0
15000,,Marco Macera,2503547/marco-macera,,,,,,,,
15001,,Clayton MacFarlane,3164043/clayton-macfarlane,USA,Welterweight,Team Xplode MMA,,,,,
15002,,Ilima-Lei Macfarlane,3924103/ilima-lei-macfarlane,USA,Women's Flyweight,Team Hurricane Awesome,1990-04-02,,,125.0,64.0
15003,,Cris Macfer Ferreira Macedo,4912829/cris-macfer-ferreira-macedo,Brazil,,,1993-05-10,,,115.0,62.0
15004,,Chris MacGrath,2950989/chris-macgrath,,Flyweight,,,,,,
15005,,Matt MacGrath,2556414/matt-macgrath,Canada,,,1980-01-08,,,,
15006,,Scott MacGregor,3104554/scott-macgregor,,,,,,,,
15007,,Alexandre Machado,3089945/alexandre-machado,Brazil,,Machado Team,,Bebezao,,,
15008,,Bruno Machado,3901009/bruno-machado,Brazil,,,1986-11-08,,,,
15009,,Caio Machado,3104905/caio-machado,Brazil,Featherweight,,1993-05-29,,,135.0,69.0
15010,,Diom Machado,3149711/diom-machado,Brazil,Featherweight,,1976-10-06,,,,
15011,,Gustavo Machado,2447646/gustavo-machado,,,,1975-05-17,Ximu,,,
15012,,Hitalo Machado,3002147/hitalo-machado,,,,,,,,
15013,,Jean Jacques Machado,2502001/jean-jacques-machado,,Welterweight,,,,,,
15014,,Mauricio Machado,3149320/mauricio-machado,Brazil,,,1987-12-28,,,155.0,66.0
15015,,Nicleide Machado,4070801/nicleide-machado,,,,,,,,
15016,,Paulo Machado,4701107/paulo-machado,,,,,,,,
15017,,Rafael Fagundes Machado,3001298/rafael-fagundes-machado,USA,Lightweight,,,,,,
15018,,Shawn Machado,3003044/shawn-machado,,Welterweight,,,,,,
15019,,Sydney Machado,2501373/sydney-machado,Brazil,,,,,,,
15020,,Tais Machado,4418525/tais-machado,,,,,,,,
15021,Orthodox,Valesca Machado,4836549/valesca-machado,Brazil,Women's Strawweight,MSP,1996-05-06,Tina Black,63.0,115.0,64.0
15022,,Wellington Machado,4426287/wellington-machado,Brazil,,,,,,,
15023,,Yure Machado,2557783/yure-machado,,Lightweight,,,,,,
15024,,Andre Luis Machado Oliveira,2565289/andre-luis-machado-oliveira,Brazil,,,1989-07-16,,,,
15025,,Murad Machaev,2987484/murad-machaev,Russia,Featherweight,Fight Nights Team,1986-12-03,Strangler,69.0,155.0,69.0
15026,,Josh Machan,2967991/josh-machan,Canada,Featherweight,,1986-12-04,,,,
15027,,Ryan Machan,2504816/ryan-machan,,,,,,,,
15028,,Matteo Machet,4662446/matteo-machet,,,,,,,,
15029,,Chinzo Machida,4200821/chinzo-machida,Brazil,Featherweight,Team Machida,1977-03-09,,,,
15030,Southpaw,Lyoto Machida,2335524/lyoto-machida,Brazil,Middleweight,Team Machida,1978-05-30,The Dragon,74.0,185.0,73.0
15031,,Andrew Machin,3100166/andrew-machin,Australia,,,,,,,
15032,Orthodox,War Machine,2556655/war-machine,USA,Welterweight,,1981-11-30,,,,
15033,Switch,Anthony Macias,2500342/anthony-macias,,,,,,,,
15034,,Jorge Enrique Macias,3115866/jorge-enrique-macias,,,,,,,,
15035,,Nicholas Macias,4819851/nicholas-macias,USA,,,,,,,
15036,,Nick Macias,3099115/nick-macias,,,,,,,,
15037,,Orlando Macias,4896632/orlando-macias,Mexico,,,,,,,
15038,Southpaw,Pauline Macias,4689228/pauline-macias,USA,Women's Strawweight,FactoryX Muay Thai,1988-06-27,Pita,64.0,115.0,64.0
15039,,Adam Maciejewski,2613529/adam-maciejewski,,,,,,,,
15040,,Adriano Maciel,3153217/adriano-maciel,,,,,,,,
15041,,Davina Maciel,3033426/davina-maciel,Brazil,,,,,,,
15042,,Ivam Maciel,4049988/ivam-maciel,,,,,,,,
15043,,Jessica Maciel,4039958/jessica-maciel,,,,,,,,
15044,,Luis Carlos Maciel,3963356/luis-carlos-maciel,,,,,,,,
15045,,Ricardo Maciel,3896692/ricardo-maciel,,,,,,,,
15046,,Robson Eduardo Maciel,3901126/robson-eduardo-maciel,Brazil,,,,,,,
15047,,Marcos Maciel de Oliveira,2969826/marcos-maciel-de-oliveira,,Lightweight,,,,,,
15048,,Jamie Macile,3960662/jamie-macile,,,,,,,,
15049,,Blaine Macintosh,2504963/blaine-macintosh,,Lightweight,,,,,,
15050,,Jaret MacIntosh,3077811/jaret-macintosh,,,,,,,,
15051,,Jonathan Mack,3044572/jonathan-mack,,,,,,,,
15052,,Shawn Mack,4202966/shawn-mack,,,,,,,,
15053,,Tashawn Mack,4394196/tashawn-mack,USA,Bantamweight,,,,,,
15054,,Willie Mack,3039007/willie-mack,,,,,,,,
15055,,Jeff Mackens,2594380/jeff-mackens,,,,,,,,
15056,,Colin MacKenzie,3074415/colin-mackenzie,,,,,,,,
15057,,Mike Mackenzie,3098428/mike-mackenzie,,,,,,,,
15058,,Jordan Mackin,4243352/jordan-mackin,USA,,,1991-08-26,,,,
15059,,Jamie Mackinnon,3083570/jamie-mackinnon,,Featherweight,,,,,,
15060,,Jonathan Mackles,3074980/jonathan-mackles,,,,,,,,
15061,,Jedrzej Mackowiak,4079297/jedrzej-mackowiak,Poland,,,,,,260.0,76.0
15062,,Ali Maclean,3011930/ali-maclean,Northern Ireland,,,1990-02-05,,,,
15063,,Craig MacLean,4876298/craig-maclean,Canada,Bantamweight,,1987-11-03,The Cookie Monster,,135.0,68.0
15064,,Ross Macleod,3077832/ross-macleod,,,,,,,,
15065,,John Macphearson,2504820/john-macphearson,,,,,,,,
15066,,Mitchell MacPhee,4054647/mitchell-macphee,Canada,Bantamweight,Independent MMA,1987-08-28,,,,
15067,,Rodney MacSwain,3016824/rodney-macswain,New Zealand,,,1986-10-27,,,,
15068,,Ana Macsweeney,4883799/ana-macsweeney,Germany,,,,,,,
15069,,Theodore Macuka,4870171/theodore-macuka,USA,,,2000-02-10,,,145.0,72.0
15070,Orthodox,Reza Madadi,2502041/reza-madadi,Iran,Lightweight,Hilti NHB,1980-06-20,Mad Dog,72.5,,
15071,,Arbi Madaev,4060515/arbi-madaev,Russia,,,,,,,
15072,,Marvin Madariaga,3128291/marvin-madariaga,,,,,,,,
15073,,Elia Madau,4289291/elia-madau,,,,,,,,
15074,,Christopher Madden,4065049/christopher-madden,USA,,,,,,,
15075,,Fabricio Madeirada,2964888/fabricio-madeirada,Brazil,,,,,,,
15076,Southpaw,Don Madge,4331588/don-madge,South Africa,Lightweight,Fight Fit Militia,1990-11-12,Magic Man,72.5,155.0,72.0
15077,,Ezenilton Madiboo,3147147/ezenilton-madiboo,,,,,,,,
15078,Orthodox,Ryan Madigan,2335826/ryan-madigan,,Welterweight,,1977-04-02,The Lion,,,
15079,,Barbara Madison,2594048/barbara-madison,,,,,,,,
15080,,Darryl Madison,3002608/darryl-madison,,,,,,,,
15081,,Murad Madomedov,3024540/murad-madomedov,,,,,,,,
15082,,Alex Madrid,3571353/alex-madrid,,,,,,,,
15083,,Benny Madrid,3146825/benny-madrid,USA,Lightweight,,1980-08-08,,,,
15084,,Daniel Madrid,3085063/daniel-madrid,USA,Middleweight,Grace Fighting Systems,1984-04-24,Demigod,,185.0,75.0
15085,,Erica Madrid,3043312/erica-madrid,,,,,,,,
15086,,Joe Madrid,3153257/joe-madrid,USA,Bantamweight,Rise Combat Sports,1990-08-16,The Barber,,135.0,66.0
15087,,Matt Madrid,3128320/matt-madrid,,,,,,,,
15088,,Michael Madrid,3001945/michael-madrid,USA,,,,,,,
15089,,Robert Madrid,3347169/robert-madrid,,,,,,,,
15090,,Jeffry Madrigal,3161687/jeffry-madrigal,,,,,,,,
15091,,Robert Madrigal,2594111/robert-madrigal,,,,,,,,
15092,,Victor Hugo Madrigal,4688624/victor-hugo-madrigal,Mexico,Bantamweight,,,Mad Dog,,135.0,67.0
15093,,Catalina Madril,3104470/catalina-madril,,,,,,,,
15094,Orthodox,Jon Madsen,2501671/jon-madsen,USA,Heavyweight,,1980-02-12,,72.0,,
15095,Orthodox,Mark O. Madsen,4409220/mark-o-madsen,Denmark,Lightweight,Fight Ready,1984-09-23,The Olympian,72.0,156.0,68.0
15096,,Chucky Mady,2512979/chucky-mady,Canada,Featherweight,,1988-10-16,The Energiza Bunny,,145.0,67.0
15097,,Kora Maea,4575700/kora-maea,Australia,,,,,,,
15098,,Keitaro Maeda,2554815/keitaro-maeda,,Middleweight,,,,,,
15099,,Kentaro Maeda,3942791/kentaro-maeda,,,,1978-09-28,,,,
15100,,Makoto Maeda,4059079/makoto-maeda,Japan,,,1977-09-23,,,,
15101,Southpaw,Yoshiro Maeda,2447633/yoshiro-maeda,Japan,Flyweight,,1981-10-31,,68.0,,
15102,,Shinji Maeguchi,3135304/shinji-maeguchi,,,,,,,,
15103,,Yukiharu Maejima,2354288/yukiharu-maejima,,Welterweight,,1973-11-05,,,,
15104,,Kumiko Maekawa,3041828/kumiko-maekawa,,,,,,,,
15105,,Shinichi Maeno,4244001/shinichi-maeno,Japan,,,,,,,
15106,,Tomo Maesawa,3041832/tomo-maesawa,Japan,,,1987-12-10,,,105.0,59.0
15107,,Mike Maestas,2499012/mike-maestas,,Lightweight,,,Demolition Man,,,
15108,,Teppei Maeyama,4409572/teppei-maeyama,Japan,,,1995-06-12,,,,
15109,,Pety Maffort,3897313/pety-maffort,Brazil,,,,,,,
15110,Orthodox,Leonardo Mafra,2965162/leonardo-mafra,Brazil,Lightweight,,1989-04-25,Macarrao,70.0,,
15111,,Leonardo Mafra Texeira,3010413/leonardo-mafra-texeira,,,,,,,,
15112,,Ioan Maftei,3797155/ioan-maftei,,,,,,,,
15113,,Sevak Magakian,2961439/sevak-magakian,,,,,,,,
15114,Orthodox,Bernardo Magalhaes,2615273/bernardo-magalhaes,Australia,Lightweight,TP Fight Team,1981-04-08,Trekko,65.0,,
15115,Orthodox,Caio Magalhaes,2613965/caio-magalhaes,Brazil,Middleweight,Teixeira MMA & Fitness,1987-12-14,Hellboy,73.0,185.0,73.0
15116,,Joana Filipa Magalhaes,4396793/joana-filipa-magalhaes,,,,,,,,
15117,,Jorge Magalhaes,2560716/jorge-magalhaes,,Welterweight,,,,,,
15118,,Rodrigo Magalhaes,3417390/rodrigo-magalhaes,,,,,,,,
15119,,Vinicius Magalhaes,2970428/vinicius-magalhaes,,Catch Weight,,,Draculinho,,,
15120,,Vinny Magalhaes,2335643/vinny-magalhaes,Brazil,Light Heavyweight,Syndicate MMA,1984-07-02,Pezao,75.0,205.0,75.0
15121,,Felisha Magallan,4700620/felisha-magallan,USA,,,,,,125.0,66.0
15122,,Magomed Magamedov,4690511/magomed-magamedov,Russia,,,,,,,
15123,,Rasul Magamedov,3173098/rasul-magamedov,,,,,,,,
15124,Orthodox,Angela Magana,3024354/angela-magana,USA,Women's Strawweight,,1983-08-02,Your Majesty,65.0,115.0,64.0
15125,Orthodox,Brandon Magana,2951308/brandon-magana,,Welterweight,,,,,,
15126,,Eric Magana,2951307/eric-magana,,Lightweight - DREAM (70kg),,,,,,
15127,,Luis Magana,4412437/luis-magana,,,,,,,,
15128,,Islam Maganadov,4260772/islam-maganadov,,,,,,,,
15129,,Jonas Magard,4291016/jonas-magard,,,,1992-06-08,,,145.0,68.0
15130,,Jared Magby,4059303/jared-magby,USA,,,,,,,
15131,,Raquel Magdaleno,3676028/raquel-magdaleno,,,,,,,,
15132,,Steve Magdaleno,3061122/steve-magdaleno,,Featherweight,,,,,,
15133,,Eric Magee,3903365/eric-magee,,,,,,,,
15134,,Jack Magee,3157462/jack-magee,England,Welterweight,,1984-12-18,Mad,,,
15135,,Marlen Magee,4351089/marlen-magee,USA,,,,,,155.0,71.0
15136,,Zach Maggard,4237951/zach-maggard,,,,,,,,
15137,,Rocco Maggorie,3153365/rocco-maggorie,,,,,,,,
15138,,Hakar Magid,4213319/hakar-magid,,,,,,,,
15139,,Mario Magnalia,4059192/mario-magnalia,,,,,,,,
15140,,Adriano Magnani,3099072/adriano-magnani,,,,,,,,
15141,,Ole Magnor,4424210/ole-magnor,Norway,,,,,,,
15142,,Grace Magnussen,3169417/grace-magnussen,,,,,,,,
15143,Orthodox,Neil Magny,3001914/neil-magny,USA,Welterweight,Elevation Fight Team,1987-08-03,The Haitian Sensation,80.0,170.0,75.0
15144,,Rashid Magomadov,2559243/rashid-magomadov,,,,,,,,
15145,,Viskhan Magomadov,4423249/viskhan-magomadov,,,,,,,,
15146,,Raimond Magomedaliev,4565683/raimond-magomedaliev,Russia,Welterweight,Eagles MMA,1990-06-10,,,170.0,75.0
15147,,Rasul Magomedaliev,3088658/rasul-magomedaliev,,,,,,,,
15148,,Magomed Magomedkerimov,3094530/magomed-magomedkerimov,Russia,Welterweight,American Top Team,1990-01-10,,73.0,170.0,73.0
15149,,Abdulhalik Magomedov,3024609/abdulhalik-magomedov,,,,,,,,
15150,,Abdulla Magomedov,4277863/abdulla-magomedov,Russia,,,,,,,
15151,,Abdulmajid Magomedov,3968289/abdulmajid-magomedov,Russia,,,1987-09-02,,,,
15152,,Abusupiyan Magomedov,3077822/abusupiyan-magomedov,Germany,Middleweight,UFD Gym,1990-09-02,Abus,78.0,185.0,74.0
15153,,Ali Magomedov,4694835/ali-magomedov,Russia,Flyweight,,,,,125.0,66.0
15154,,Alihan Magomedov,2557923/alihan-magomedov,,Light Heavyweight,,,,,,
15155,,Alikhan Magomedov,3734512/alikhan-magomedov,,,,,,,,
15156,,Arsen Magomedov,3087916/arsen-magomedov,,,,,,,,
15157,,Artur Magomedov,4303030/artur-magomedov,,,,,,,,
15158,,Bekbulat Magomedov,3954154/bekbulat-magomedov,Russia,Featherweight,,1990-11-05,,,145.0,68.0
15159,,Dzhamal Magomedov,4291582/dzhamal-magomedov,Russia,,,,,,,
15160,,Dzhambulat Magomedov,3956802/dzhambulat-magomedov,,,,,,,,
15161,,Eldar Magomedov,4281419/eldar-magomedov,,,,,,,,
15162,,Gadji Magomedov,3023792/gadji-magomedov,,,,,,,,
15163,,Gamzat Magomedov,4684133/gamzat-magomedov,Russia,Bantamweight,,,,,,
15164,Orthodox,Ibragim Magomedov,2354531/ibragim-magomedov,Russia,,,,,,,
15165,,Jamal Magomedov,2999768/jamal-magomedov,,,,,,,,
15166,,Kamal Magomedov,4591016/kamal-magomedov,Russia,,,1991-05-15,,,170.0,68.0
15167,,Karim Magomedov,4275042/karim-magomedov,,,,,,,,
15168,,Kazbek Magomedov,3077991/kazbek-magomedov,,,,,,,,
15169,,Khizri Magomedov,4911959/khizri-magomedov,Russia,,,,,,,
15170,,Magomed Magomedov,2966188/magomed-magomedov,Russia,Bantamweight,,1991-12-25,Tiger,,135.0,67.0
15171,,Magomed Magomedov,4600098/magomed-magomedov,,,,,,,,
15172,,Magomed Magomedov,4703005/magomed-magomedov,Russia,Middleweight,,1994-01-21,Molodoy,,,
15173,,Magomed Magomedov,4703006/magomed-magomedov,Russia,Lightweight,,,,,,
15174,,Magomed Magomedov,4705125/magomed-magomedov,Russia,,,,,,,
15175,,Magomedtagir Magomedov,3103203/magomedtagir-magomedov,,,,,,,,
15176,,Marat Magomedov,3955237/marat-magomedov,Russia,Featherweight,,1990-06-16,,,145.0,68.0
15177,,Murad Magomedov,3024554/murad-magomedov,Russia,Flyweight,,,,,,
15178,,Muslim Magomedov,4714499/muslim-magomedov,Russia,,,1995-01-31,,,205.0,72.0
15179,Orthodox,Rashid Magomedov,2557936/rashid-magomedov,Russia,Lightweight,Gorets,1984-05-14,Goretz,70.5,155.0,69.0
15180,,Rasul Magomedov,4293438/rasul-magomedov,Russia,,,,,,,
15181,,Roman Magomedov,4783029/roman-magomedov,Russia,,,,,,,
15182,Orthodox,Ruslan Magomedov,2976990/ruslan-magomedov,Russia,Heavyweight,Fight Club Berkut,1986-11-26,Leopard,78.0,,
15183,,Salman Magomedov,4299565/salman-magomedov,,,,,,,,
15184,,Shamil Magomedov,4896571/shamil-magomedov,Russia,Bantamweight,Eagles MMA,1993-02-04,BJ,,,
15185,,Shamkhan Magomedov,4393679/shamkhan-magomedov,,,,,,,,
15186,,Sharaputdin Magomedov,4421784/sharaputdin-magomedov,Russia,,,1994-05-16,,,,
15187,,Yusup Magomedov,3027482/yusup-magomedov,,,,,,,,
15188,,Madina Magomedova,4894781/madina-magomedova,Russia,,,,,,,
15189,,Khasan Magomedsharipov,4715264/khasan-magomedsharipov,Russia,,,2000-10-06,,,145.0,71.0
15190,Orthodox,Zabit Magomedsharipov,4241041/zabit-magomedsharipov,Russia,Featherweight,Ricardo Almeida Jiu-Jitsu,1991-03-01,,73.0,145.0,73.0
15191,,Vladimir Magomedshayshafiev,3089006/vladimir-magomedshayshafiev,,,,,,,,
15192,,Shamil Magomedzagidov,4423282/shamil-magomedzagidov,Russia,,,,,,,
15193,,Flavio Rodrigo Magon,3147311/flavio-rodrigo-magon,Brazil,Light Heavyweight,,1984-05-28,,,205.0,72.0
15194,,Alessandro Magrao,4341579/alessandro-magrao,,,,,,,,
15195,,Aaron Magro,3115044/aaron-magro,,,,,,,,
15196,,Cristian Magro,3988871/cristian-magro,Italy,,,1981-06-25,,,,
15197,,Paulo Magueta,3895529/paulo-magueta,Brazil,,,,,,,
15198,,Adson Maguila,3147159/adson-maguila,,,,,,,,
15199,,Vanessa Maguila,4044300/vanessa-maguila,,,,,,,,
15200,,Maguinho Maguinho,3895850/maguinho-maguinho,Brazil,,,,,,,
15201,Southpaw,John Maguire,2559233/john-maguire,England,Lightweight,Tsunami Gym,1983-05-19,The One,69.0,175.0,69.0
15202,,Tom Maguire,2555119/tom-maguire,,,,,,,,
15203,,Tommy Maguire,2502321/tommy-maguire,,,,,,,,
15204,,Zagalav Mahachev,3077994/zagalav-mahachev,,,,,,,,
15205,,Matt Mahaerry,3149688/matt-mahaerry,,,,,,,,
15206,,Eduardo Mahal,4070302/eduardo-mahal,,,,,,,,
15207,,Shantaram Maharaj,3871738/shantaram-maharaj,,,,,,,,
15208,,Reza Mahdavian,2977007/reza-mahdavian,,Light Heavyweight,,,,,,
15209,,Lolohea Mahe,2558494/lolohea-mahe,,,,,,,,
15210,,Chad Maheau,2558389/chad-maheau,,Middleweight,,,,,,
15211,,Michelle Maher,2951309/michelle-maher,,Lightweight - DREAM (70kg),,,,,,
15212,Orthodox,Maheshate Maheshate,4895360/maheshate-maheshate,China,Lightweight,Enbo Gedou,1999-01-12,,71.0,156.0,72.0
15213,,John Mahlow,2354254/john-mahlow,USA,Lightweight,,1980-06-28,,,,
15214,,Muhamad Mahmic,3961949/muhamad-mahmic,Bosnia & Herzegovina,,,,,,,
15215,,Hassan Mahmood,3947115/hassan-mahmood,,,,,,,,
15216,,Nick Mahmood,4294381/nick-mahmood,,,,,,,,
15217,,Milad Mahmoodi,3042028/milad-mahmoodi,,,,,,,,
15218,,Corey Mahon,3022350/corey-mahon,USA,Lightweight,,,,,,
15219,,Jeremy Mahon,2960861/jeremy-mahon,USA,Featherweight,4oz Fight Club,1979-09-28,,,,
15220,,Bill Mahoney,2501719/bill-mahoney,,Featherweight,,,,,,
15221,,Jacob Mahony,4070675/jacob-mahony,,,,,,,,
15222,Orthodox,Bill Mahood,2354118/bill-mahood,Canada,,,1967-02-01,The Butcher,,,
15223,,Bill Mahood,2594102/bill-mahood,,,,,,,,
15224,,Mehdi Mahouache,2957560/mehdi-mahouache,,,,,,,,
15225,,Mohamed Mahouti,3104360/mohamed-mahouti,,,,,,,,
15226,,Jevgeniy Mahteenko,3107982/jevgeniy-mahteenko,,,,,,,,
15227,,Klayton Mai,3088826/klayton-mai,USA,Flyweight,Octagon MMA,1986-11-30,,,,
15228,,Amauri Maia,4910220/amauri-maia,,,,,,,,
15229,,Claudinei Maia,3053401/claudinei-maia,,,,,,,,
15230,Southpaw,Demian Maia,2335778/demian-maia,Brazil,Welterweight,Demian Maia Jiu-Jitsu,1977-11-06,,72.0,170.0,73.0
15231,Orthodox,Jennifer Maia,3022348/jennifer-maia,Brazil,Women's Flyweight,Chute Boxe,1988-10-06,,64.0,125.0,64.0
15232,,Osiris Maia,3110016/osiris-maia,,,,,,,,
15233,,Savio Maia,3674898/savio-maia,Brazil,,,,,,,
15234,,Wagner Maia,4257938/wagner-maia,Brazil,,,1993-11-18,,,,
15235,,Weslley Maia,4394414/weslley-maia,Brazil,,,,,,145.0,67.0
15236,,Yuri Maia,4019189/yuri-maia,,,,,,,,
15237,,Joe Maiani,4001862/joe-maiani,USA,,,1974-10-25,,,,
15238,,Vitalic Maiboroda,4887010/vitalic-maiboroda,Greece,,,,,,,
15239,,Keremuaili Maimaitituohati,4894737/keremuaili-maimaitituohati,China,Bantamweight,,1991-03-18,,,135.0,67.0
15240,,Andy Main,2966150/andy-main,USA,Featherweight,Pure MMA,1989-03-24,,,145.0,71.0
15241,,Roshan Mainam,4826639/roshan-mainam,India,Bantamweight,Evolve MMA,,,,135.0,64.0
15242,,Danny Mainus,3122043/danny-mainus,USA,,Grudge Training Center,1984-04-04,,,,
15243,,Eduardo Maiorino,2498638/eduardo-maiorino,Brazil,Heavyweight,,1979-08-16,Morpheus,,,
15244,,James Mair,3100789/james-mair,,,,,,,,
15245,,Barry Mairs,2986689/barry-mairs,,Welterweight,,,,,,
15246,,Josh Maish,3154881/josh-maish,,,,,,,,
15247,,Zauri Maisuradze,4341569/zauri-maisuradze,,,,,,,,
15248,,Jonas Majauskas,2553269/jonas-majauskas,,Welterweight,,,,,,
15249,,Blazej Majdan,4375233/blazej-majdan,Poland,,,,,,,
15250,,Ayadi Majdeddine,4691173/ayadi-majdeddine,Turkey,,,1991-01-22,,,,
15251,,Ammar Majed,4394144/ammar-majed,,,,,,,,
15252,,Tadija Majic,3258692/tadija-majic,,,,,,,,
15253,,Kazumasa Majima,4835432/kazumasa-majima,Japan,,,1991-10-16,,,145.0,67.0
15254,,Antonijo Majksner,3988877/antonijo-majksner,Croatia,,,,,,,
15255,,Tomas Majlar,4662454/tomas-majlar,,,,,,,,
15256,,Matt Major,2525945/matt-major,,Welterweight,AKA (American Kickboxing Academy),,,,,
15257,,Matt Major,3074491/matt-major,,,,,,,,
15258,,Shawn Major,3157999/shawn-major,,,,,,,,
15259,,Tom Major,4694895/tom-major,England,,,,,,,
15260,,Istvan Majoros,2553098/istvan-majoros,,Bantamweight,,,,,,
15261,,Victor Majuskaus,2557842/victor-majuskaus,,Light Heavyweight,,,,,,
15262,,Zelimkhan Makaev,4405599/zelimkhan-makaev,,,,,,,,
15263,,Mario Makaric,4289296/mario-makaric,,,,,,,,
15264,,Valery Makarov,4895686/valery-makarov,Russia,Flyweight,,,,,,
15265,,Alina Makarova,4799696/alina-makarova,Russia,,,,,,,
15266,,Ekaterina Makarova,4713980/ekaterina-makarova,Russia,,,1991-02-18,,,135.0,65.0
15267,,Mateusz Makarowski,4737945/mateusz-makarowski,Poland,,,,,,160.0,70.0
15268,,Makasharip Makasharipov,3087486/makasharip-makasharipov,,,,,,,,
15269,Orthodox,Levan Makashvili,3167314/levan-makashvili,USA,Featherweight,,1989-01-07,The Hornet,68.5,,
15270,,Quincy Makatita,4889779/quincy-makatita,Netherlands,,,,,,,
15271,Orthodox,John Makdessi,2529520/john-makdessi,Canada,Lightweight,Roufusport,1985-05-03,The Bull,68.0,154.0,68.0
15272,,Matti Makela,3023953/matti-makela,Sweden,,,1983-12-29,,,,
15273,,Gadzhiev Makhach,3103156/gadzhiev-makhach,,Welterweight,,,,,,
15274,Southpaw,Islam Makhachev,3332412/islam-makhachev,Russia,Lightweight,AKA (American Kickboxing Academy),1991-10-27,,70.5,155.0,70.0
15275,,Murat Makhachev,3728410/murat-makhachev,,Featherweight,,,,,,
15276,,Islam Makhackev,3084456/islam-makhackev,,,,,,,,
15277,,Mairbek Makhanov,3162008/mairbek-makhanov,,,,,,,,
15278,,Rakhman Makhazhiev,4074010/rakhman-makhazhiev,Russia,,,,,,,
15279,Southpaw,Aliev Makhmud,2951310/aliev-makhmud,,Middleweight,,,,,,
15280,,Muslim Makhmudov,4063089/muslim-makhmudov,Russia,,,,,,,
15281,,Yusuf Makhmudov,4420405/yusuf-makhmudov,,,,,,,,
15282,,Maria Makhmutova,4391534/maria-makhmutova,,,,,,,,
15283,,Alexey Makhno,4073942/alexey-makhno,Russia,Lightweight,,1990-05-16,,,,
15284,,Dmitry Makhotskiy,4601332/dmitry-makhotskiy,,,,,,,,
15285,,Vitaliy Makiev,4832902/vitaliy-makiev,Russia,,,1989-11-09,,,,
15286,,Atsushi Makigaya,4913043/atsushi-makigaya,Japan,Strawweight,,1979-10-04,,,,
15287,,Kilistina Makihele,4369486/kilistina-makihele,,,,,,,,
15288,,Daniel Makin,4292422/daniel-makin,Germany,,,,,,,
15289,,Igor Makoedov,4401349/igor-makoedov,Ukraine,,,1994-04-23,,,,
15290,,Islam Makoev,4280465/islam-makoev,Russia,Lightweight,,,,,155.0,69.0
15291,,Zuriana Makoeva,4275998/zuriana-makoeva,Russia,,,,,,,
15292,Southpaw,Zach Makovsky,2527791/zach-makovsky,USA,Flyweight,TriStar Gym,1982-06-30,Fun Size,64.0,,
15293,,Josue Makowiecky da Silva,3045919/josue-makowiecky-da-silva,,,,,,,,
15294,,Matt Makowski,2515921/matt-makowski,,Welterweight,,,,,,
15295,,Maksim Maksim,4894861/maksim-maksim,Russia,,,,,,,
15296,,Vitaly Maksimov,3044660/vitaly-maksimov,Ukraine,,,,,,,
15297,,Slobodan Maksimovic,3988883/slobodan-maksimovic,Serbia,,,1989-01-23,,,,
15298,,Shomidin Maksudinov,4895685/shomidin-maksudinov,Russia,Flyweight,,,,,,
15299,,Daisuke Maku,3791106/daisuke-maku,Japan,Bantamweight,,1983-11-10,,,,
15300,,Tshikangu Makuebo,4291057/tshikangu-makuebo,,,,,,,,
15301,,Rodrigo Mal,3147150/rodrigo-mal,,,,,,,,
15302,,Abdul Malaaiev,3024534/abdul-malaaiev,,,,,,,,
15303,,Michal Malata,4631404/michal-malata,,,,,,,,
15304,,Jeremy Malaterre,2951311/jeremy-malaterre,,Lightweight,,,,,,
15305,,Soslanbek Malbakhov,4913016/soslanbek-malbakhov,,,,,,,,
